"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Athenagoras_I_of_Constantinople","Athenagoras I of Constantinople",1886
"http://dbpedia.org/resource/Östen_Undén","Östen Undén",1886
"http://dbpedia.org/resource/Frank_Porter_Graham","Frank Porter Graham",1886
"http://dbpedia.org/resource/Paul_Dudley_White","Paul Dudley White",1886
"http://dbpedia.org/resource/Kurt_Hahn","Kurt Hahn",1886
"http://dbpedia.org/resource/Manley_Ottmer_Hudson","Manley Ottmer Hudson",1886
"http://dbpedia.org/resource/Salvador_de_Madariaga","Salvador de Madariaga",1886
"http://dbpedia.org/resource/Abraham_Vereide","Abraham Vereide",1886
"http://dbpedia.org/resource/Raja_Mahendra_Pratap","Raja Mahendra Pratap",1886
"http://dbpedia.org/resource/Arnold_Zweig","Arnold Zweig",1887
"http://dbpedia.org/resource/Ernest_Gruening","Ernest Gruening",1887
"http://dbpedia.org/resource/René_Cassin","René Cassin",1887
"http://dbpedia.org/resource/B._N._Rau","B. N. Rau",1887
"http://dbpedia.org/resource/Hans_Thirring","Hans Thirring",1888
"http://dbpedia.org/resource/Elsa_Brändström","Elsa Brändström",1888
"http://dbpedia.org/resource/John_Foster_Dulles","John Foster Dulles",1888
"http://dbpedia.org/resource/Sarvepalli_Radhakrishnan","Sarvepalli Radhakrishnan",1888
"http://dbpedia.org/resource/Fenner_Brockway","Fenner Brockway",1888
"http://dbpedia.org/resource/Stephen_Galatti","Stephen Galatti",1888
"http://dbpedia.org/resource/Toyohiko_Kagawa","Toyohiko Kagawa",1888
"http://dbpedia.org/resource/Yitzhak_HaLevi_Herzog","Yitzhak HaLevi Herzog",1888
"http://dbpedia.org/resource/Jean_Monnet","Jean Monnet",1888
"http://dbpedia.org/resource/Józef_Retinger","Józef Retinger",1888
"http://dbpedia.org/resource/Kaoru_Hatoyama","Kaoru Hatoyama",1888
"http://dbpedia.org/resource/Carl_von_Ossietzky","Carl von Ossietzky",1889
"http://dbpedia.org/resource/Adolf_Hitler","Adolf Hitler",1889
"http://dbpedia.org/resource/Jawaharlal_Nehru","Jawaharlal Nehru",1889
"http://dbpedia.org/resource/Philip_Noel-Baker","Philip Noel-Baker",1889
"http://dbpedia.org/resource/Olave_Baden-Powell","Olave Baden-Powell",1889
"http://dbpedia.org/resource/Boris_Gourevitch","Boris Gourevitch",1889
"http://dbpedia.org/resource/Beniamino_Bufano","Beniamino Bufano",1890
"http://dbpedia.org/resource/Dwight_D._Eisenhower","Dwight D. Eisenhower",1890
"http://dbpedia.org/resource/Vyacheslav_Molotov","Vyacheslav Molotov",1890
"http://dbpedia.org/resource/Y._C._James_Yen","Y. C. James Yen",1890
"http://dbpedia.org/resource/Quincy_Wright","Quincy Wright",1890
"http://dbpedia.org/resource/Gertrud_Baer","Gertrud Baer",1890
"http://dbpedia.org/resource/Rafael_Trujillo","Rafael Trujillo",1891
"http://dbpedia.org/resource/Paul_G._Hoffman","Paul G. Hoffman",1891
"http://dbpedia.org/resource/Heinrich_Grüber","Heinrich Grüber",1891
"http://dbpedia.org/resource/Josip_Broz_Tito","Josip Broz Tito",1892
"http://dbpedia.org/resource/Robert_H._Jackson","Robert H. Jackson",1892
"http://dbpedia.org/resource/Basil_O'Connor","Basil O'Connor",1892
"http://dbpedia.org/resource/Martin_Niemöller","Martin Niemöller",1892
"http://dbpedia.org/resource/Louise_Weiss","Louise Weiss",1893
"http://dbpedia.org/resource/Jules_Moch","Jules Moch",1893
"http://dbpedia.org/resource/Richard_von_Coudenhove-Kalergi","Richard von Coudenhove-Kalergi",1894
"http://dbpedia.org/resource/H._V._Evatt","H. V. Evatt",1894
"http://dbpedia.org/resource/Oswaldo_Aranha","Oswaldo Aranha",1894
"http://dbpedia.org/resource/John_S._Knight","John S. Knight",1894
"http://dbpedia.org/resource/Buckminster_Fuller","Buckminster Fuller",1895
"http://dbpedia.org/resource/Vinoba_Bhave","Vinoba Bhave",1895
"http://dbpedia.org/resource/Andreo_Cseh","Andreo Cseh",1895
"http://dbpedia.org/resource/Juan_Perón","Juan Perón",1895
"http://dbpedia.org/resource/Eugen_Relgis","Eugen Relgis",1895
"http://dbpedia.org/resource/Ragnar_Frisch","Ragnar Frisch",1895
"http://dbpedia.org/resource/Trygve_Lie","Trygve Lie",1896
"http://dbpedia.org/resource/Nobusuke_Kishi","Nobusuke Kishi",1896
"http://dbpedia.org/resource/Brock_Chisholm","Brock Chisholm",1896
"http://dbpedia.org/resource/James_Warburg","James Warburg",1896
"http://dbpedia.org/resource/Clarence_Streit","Clarence Streit",1896
"http://dbpedia.org/resource/Drew_Pearson_(journalist)","Drew Pearson (journalist)",1897
"http://dbpedia.org/resource/Anthony_Eden","Anthony Eden",1897
"http://dbpedia.org/resource/Einar_Gerhardsen","Einar Gerhardsen",1897
"http://dbpedia.org/resource/Pope_Paul_VI","Pope Paul VI",1897
"http://dbpedia.org/resource/Charles_K._Bliss","Charles K. Bliss",1897
"http://dbpedia.org/resource/William_Chapman_Foster","William Chapman Foster",1897
"http://dbpedia.org/resource/Gunnar_Myrdal","Gunnar Myrdal",1898
"http://dbpedia.org/resource/Jan_Antonín_Baťa","Jan Antonín Baťa",1898
"http://dbpedia.org/resource/William_O._Douglas","William O. Douglas",1898
"http://dbpedia.org/resource/Erich_Maria_Remarque","Erich Maria Remarque",1898
"http://dbpedia.org/resource/Eugene_R._Black_Sr.","Eugene R. Black Sr.",1898
"http://dbpedia.org/resource/Friedrich_Hayek","Friedrich Hayek",1899
"http://dbpedia.org/resource/Paul-Henri_Spaak","Paul-Henri Spaak",1899
"http://dbpedia.org/resource/Robert_Maynard_Hutchins","Robert Maynard Hutchins",1899
"http://dbpedia.org/resource/Carlos_P._Romulo","Carlos P. Romulo",1899
"http://dbpedia.org/resource/David_E._Lilienthal","David E. Lilienthal",1899
"http://dbpedia.org/resource/Urho_Kekkonen","Urho Kekkonen",1900
"http://dbpedia.org/resource/Wayne_Morse","Wayne Morse",1900
"http://dbpedia.org/resource/Raphael_Lemkin","Raphael Lemkin",1900
"http://dbpedia.org/resource/Joseph_Needham","Joseph Needham",1900
"http://dbpedia.org/resource/Mohammad_Hejazi_(author)","Mohammad Hejazi (author)",1900
"http://dbpedia.org/resource/Adlai_Stevenson_II","Adlai Stevenson II",1900
"http://dbpedia.org/resource/Miguel_Alemán_Valdés","Miguel Alemán Valdés",1900
"http://dbpedia.org/resource/Linus_Pauling","Linus Pauling",1901
"http://dbpedia.org/resource/Andrew_W._Cordier","Andrew W. Cordier",1901
"http://dbpedia.org/resource/Stefan_Wyszyński","Stefan Wyszyński",1901
"http://dbpedia.org/resource/Tage_Erlander","Tage Erlander",1901
"http://dbpedia.org/resource/Howard_A._Rusk","Howard A. Rusk",1901
"http://dbpedia.org/resource/Frans_Hemerijckx","Frans Hemerijckx",1902
"http://dbpedia.org/resource/Halvard_Lange","Halvard Lange",1902
"http://dbpedia.org/resource/Alva_Myrdal","Alva Myrdal",1902
"http://dbpedia.org/resource/Jayaprakash_Narayan","Jayaprakash Narayan",1902
"http://dbpedia.org/resource/Charles_Henry_Alexandrowicz","Charles Henry Alexandrowicz",1902
"http://dbpedia.org/resource/Herman_B_Wells","Herman B Wells",1902
"http://dbpedia.org/resource/Hartley_Shawcross","Hartley Shawcross",1902
"http://dbpedia.org/resource/Habib_Bourguiba","Habib Bourguiba",1903
"http://dbpedia.org/resource/Jan_Tinbergen","Jan Tinbergen",1903
"http://dbpedia.org/resource/Michail_Stasinopoulos","Michail Stasinopoulos",1903
"http://dbpedia.org/resource/Giorgio_La_Pira","Giorgio La Pira",1904
"http://dbpedia.org/resource/Ralph_Bunche","Ralph Bunche",1904
"http://dbpedia.org/resource/Emery_Reves","Emery Reves",1904
"http://dbpedia.org/resource/Dag_Hammarskjöld","Dag Hammarskjöld",1905
"http://dbpedia.org/resource/J._William_Fulbright","J. William Fulbright",1905
"http://dbpedia.org/resource/Alberto_Lleras_Camargo","Alberto Lleras Camargo",1906
"http://dbpedia.org/resource/Léopold_Sédar_Senghor","Léopold Sédar Senghor",1906
"http://dbpedia.org/resource/Eugene_Carson_Blake","Eugene Carson Blake",1906
"http://dbpedia.org/resource/John_D._Rockefeller_III","John D. Rockefeller III",1906
"http://dbpedia.org/resource/Galo_Plaza","Galo Plaza",1906
"http://dbpedia.org/resource/Pierre_Mendès_France","Pierre Mendès France",1907
"http://dbpedia.org/resource/Hideki_Yukawa","Hideki Yukawa",1907
"http://dbpedia.org/resource/I._F._Stone","I. F. Stone",1907
"http://dbpedia.org/resource/François_Duvalier","François Duvalier",1907
"http://dbpedia.org/resource/Lyndon_B._Johnson","Lyndon B. Johnson",1908
"http://dbpedia.org/resource/Josué_de_Castro","Josué de Castro",1908
"http://dbpedia.org/resource/U_Thant","U Thant",1909
"http://dbpedia.org/resource/Maurizio_Valenzi","Maurizio Valenzi",1909
"http://dbpedia.org/resource/Lotta_Hitschmanova","Lotta Hitschmanova",1909
"http://dbpedia.org/resource/Adam_Rapacki","Adam Rapacki",1909
"http://dbpedia.org/resource/Adolfo_López_Mateos","Adolfo López Mateos",1909
"http://dbpedia.org/resource/Hélder_Câmara","Hélder Câmara",1909
"http://dbpedia.org/resource/Dominique_Pire","Dominique Pire",1910
"http://dbpedia.org/resource/Arne_Geijer","Arne Geijer",1910
"http://dbpedia.org/resource/Danny_Kaye","Danny Kaye",1911
"http://dbpedia.org/resource/Alfonso_García_Robles","Alfonso García Robles",1911
"http://dbpedia.org/resource/Raoul_Wallenberg","Raoul Wallenberg",1912
"http://dbpedia.org/resource/Abbé_Pierre","Abbé Pierre",1912
"http://dbpedia.org/resource/Raphael_Armattoe","Raphael Armattoe",1913
"http://dbpedia.org/resource/Eric_Wyndham_White","Eric Wyndham White",1913
"http://dbpedia.org/resource/Norman_Borlaug","Norman Borlaug",1914
"http://dbpedia.org/resource/Louis_B._Sohn","Louis B. Sohn",1914
"http://dbpedia.org/resource/Bob_Cotton","Bob Cotton",1915
"http://dbpedia.org/resource/Sargent_Shriver","Sargent Shriver",1915
"http://dbpedia.org/resource/Norman_Cousins","Norman Cousins",1915
"http://dbpedia.org/resource/John_F._Kennedy","John F. Kennedy",1917
"http://dbpedia.org/resource/Eva_Perón","Eva Perón",1919
"http://dbpedia.org/resource/Hermann_Gmeiner","Hermann Gmeiner",1919
"http://dbpedia.org/resource/Vicenç_Ferrer_Moncho","Vicenç Ferrer Moncho",1920
"http://dbpedia.org/resource/William_B._Walsh","William B. Walsh",1920
"http://dbpedia.org/resource/Alexander_Dubček","Alexander Dubček",1921
"http://dbpedia.org/resource/Herbert_York","Herbert York",1921
"http://dbpedia.org/resource/Doug_Everingham","Doug Everingham",1923
"http://dbpedia.org/resource/Sue_Ryder","Sue Ryder",1924
